name,place,location,latitude,longitude,year
Madame (2017) {Chapter Two: Gods and Monsters (#1.2)},"Kampa, Malá Strana, Prague, Czech Republic","Kampa, Malá Strana, Hlavní město Praha, Praha, Česko",50.0838761,14.407662473715163,2017
Madame (2017) {Chapter Two: Gods and Monsters (#1.2)},"New Town, Prague, Czech Republic","Nové Město, Hlavní město Praha, Praha, Česko",50.0759376,14.4199464,2017
Madame (2017) {Chapter Two: Gods and Monsters (#1.2)},"Kampa, Malá Strana, Prague, Czech Republic","Kampa, Malá Strana, Hlavní město Praha, Praha, Česko",50.0838761,14.407662473715163,2017
Madame (2017) {Chapter Two: Gods and Monsters (#1.2)},"Vodickova ulice, Prague, Czech Republic","Vodičkova, Nové Město, Hlavní město Praha, Praha, 11121, Česko",50.0791902,14.4221071,2017
Madame (2017) {Chapter Two: Gods and Monsters (#1.2)},"Stromovka, Prague, Czech Republic","Královská obora, Hlavní město Praha, Praha, Česko",50.10673905,14.41113590144635,2017
Myyntimies Jethro matkoilla (2016) {Praha (#1.6)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2016
Mädchengeschichten (1998) {Katarina aus Slowenien (#1.10)},"Ljubljana, Slovenia","Ljubljana, Upravna Enota Ljubljana, Slovenija",46.0499803,14.5068602,1998
Mädchengeschichten (1998) {Markéta Raketa (#1.14)},Czech Republic,Česko,49.8167003,15.4749544,1998
Noble Soul (2015) {Moira - The Goddess of Fate (#1.3)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2015
Návstevníci (1983) {Génius v hladomorne (#1.8)},"Bráfova Street, Brno, Czech Republic","Bráfova, Žabovřesky, Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, 61600, Česko",49.2130251,16.5758041,1983
Návstevníci (1983) {Génius v hladomorne (#1.8)},"Pelhrimov, Vysocina, Czech Republic","Pelhřimov, okres Pelhřimov, Kraj Vysočina, Jihovýchod, Česko",49.425879550000005,15.22282902635321,1983
Návstevníci (1983) {Návrat do budoucnosti (#1.15)},"Bráfova Street, Brno, Czech Republic","Bráfova, Žabovřesky, Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, 61600, Česko",49.2130251,16.5758041,1983
Návstevníci (1983) {Návrat do budoucnosti (#1.15)},"Pelhrimov, Vysocina, Czech Republic","Pelhřimov, okres Pelhřimov, Kraj Vysočina, Jihovýchod, Česko",49.425879550000005,15.22282902635321,1983
Návstevníci (1983) {Návstevníci pricházejí (#1.3)},"Bráfova Street, Brno, Czech Republic","Bráfova, Žabovřesky, Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, 61600, Česko",49.2130251,16.5758041,1983
Návstevníci (1983) {Návstevníci pricházejí (#1.3)},"Pelhrimov, Vysocina, Czech Republic","Pelhřimov, okres Pelhřimov, Kraj Vysočina, Jihovýchod, Česko",49.425879550000005,15.22282902635321,1983
Návstevníci (1983) {Sólo pro návstevníky (#1.9)},"Bráfova Street, Brno, Czech Republic","Bráfova, Žabovřesky, Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, 61600, Česko",49.2130251,16.5758041,1983
Návstevníci (1983) {Sólo pro návstevníky (#1.9)},"Pelhrimov, Vysocina, Czech Republic","Pelhřimov, okres Pelhřimov, Kraj Vysočina, Jihovýchod, Česko",49.425879550000005,15.22282902635321,1983
Návstevníci (1983) {Tajemství velkého ucitele (#1.6)},"Bráfova Street, Brno, Czech Republic","Bráfova, Žabovřesky, Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, 61600, Česko",49.2130251,16.5758041,1983
Návstevníci (1983) {Tajemství velkého ucitele (#1.6)},"Pelhrimov, Vysocina, Czech Republic","Pelhřimov, okres Pelhřimov, Kraj Vysočina, Jihovýchod, Česko",49.425879550000005,15.22282902635321,1983
Ohnivý kure (2016) {Bratri jak se patrí (#2.6)},"Benátky nad Jizerou, Czech Republic","Benátky nad Jizerou, okres Mladá Boleslav, Střední Čechy, Česko",50.291767,14.8260014,2016
Outlander (2014) {Best Laid Schemes... (#2.6)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2014
Outlander (2014) {Not in Scotland Anymore (#2.2)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2014
"Outlander (2014) {Through a Glass, Darkly (#2.1)}","Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2014
Outlander (2014) {Untimely Resurrection (#2.5)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2014
Outlander (2014) {Useful Occupations and Deceptions (#2.3)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2014
